time, damage, mv, attack, em, cr, cd, damage bonus, character, element, reaction, damage type, aoe
0.000, 1872.992, 0.806, 2035.470, 39.640, 0.659, 1.890,1.160,Fischl, Element.PHYSICAL, None, DamageType.CHARGED, False
0.600, 13953.974, 4.309, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, True
1.150, 2053.695, 1740.624, 1294.040, 39.640, -0.884, 0.632,1.000,Kokomi, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
1.150, 2590.786, 0.800, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
1.583, 5751.545, 1.776, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
2.150, 2053.695, 1740.624, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
2.583, 5751.545, 1.776, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
3.150, 1847.313, 2402.036, 1294.040, 39.640, -0.884, 0.632,1.754,Kokomi, Element.HYDRO, None, DamageType.SKILL, False
3.150, 5145.385, 870.312, 1339.485, 900.920, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
3.150, 2590.786, 0.800, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
3.200, 11948.286, 1740.624, 1339.485, 900.920, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
3.233, 479.380, 0.569, 1339.485, 900.920, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
3.233, 1241.418, 0.300, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
3.583, 7349.197, 1.776, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
3.817, 7796.577, 2.226, 1212.448, 432.640, 0.659, 1.228,1.466,Xiangling, Element.PYRO, Reactions.REVERSEVAPE, DamageType.SKILL, True
3.850, 3728.379, 4.424, 1339.485, 900.920, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.SKILL, True
3.850, 14132.512, 2901.040, 1212.448, 612.824, 0.659, 1.228,1.466,Xiangling, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
3.850, 7220.308, 870.312, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
3.850, 3310.449, 0.800, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
3.850, 7220.308, 870.312, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
3.850, 5650.676, 870.312, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.HYDRO, Reactions.HYDROSWIRL, DamageType.REACTION, True
3.850, 6435.492, 870.312, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.PYRO, Reactions.PYROSWIRL, DamageType.REACTION, True
3.850, 19667.500, 2901.040, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
3.900, 5808.966, 1740.624, 1294.040, 269.824, -0.884, 0.632,1.000,Kokomi, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
4.317, 479.380, 0.569, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
4.317, 1241.418, 0.300, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
4.600, 7349.197, 1.776, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
4.633, 438.691, 0.521, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.NORMAL, False
4.633, 1241.418, 0.300, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
4.667, 13239.585, 1740.624, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
4.667, 3310.449, 0.800, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
4.667, 7220.308, 870.312, 1339.485, 1081.104, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
5.150, 2360.456, 2402.036, 1294.040, 39.640, -0.884, 0.632,1.754,Kokomi, Element.HYDRO, None, DamageType.SKILL, False
5.367, 3728.379, 4.424, 1339.485, 1081.104, 0.249, 0.632,1.240,Sucrose, Element.ANEMO, None, DamageType.SKILL, True
5.367, 6250.001, 1740.624, 1294.040, 305.861, -0.884, 0.632,1.000,Kokomi, Element.ELECTRO, Reactions.EC, DamageType.REACTION, True
5.367, 7340.481, 870.312, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
5.367, 3310.449, 0.800, 2035.470, 39.640, 0.659, 1.890,1.616,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
5.367, 7340.481, 870.312, 1339.485, 1117.141, 0.249, 0.632,1.000,Sucrose, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
