time, damage, mv, attack, em, cr, cd, damage bonus, character, element, reaction, damage type, aoe
0.850, 5362.552, 1.992, 1669.804, 39.640, 0.692, 1.294,1.939,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
1.180, 3141.904, 3.264, 1471.298, 960.120, 0.116, 0.632,1.390,Kazuha, Element.ANEMO, None, DamageType.SKILL, True
1.167, 5318.185, 870.312, 1471.298, 960.120, 0.116, 0.632,1.240,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
1.980, 2874.168, 2.000, 1471.298, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, None, DamageType.PLUNGE, True
1.980, 3344.655, 3.475, 1471.298, 960.120, 0.116, 0.632,1.390,Kazuha, Element.ANEMO, None, DamageType.PLUNGE, True
1.967, 6795.458, 870.312, 1471.298, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
2.057, 2941.857, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
2.587, 3636.277, 2.339, 1235.531, 94.640, 0.659, 1.228,1.586,Bennett, Element.PYRO, None, DamageType.SKILL, False
2.583, 4498.412, 2901.040, 1235.531, 94.640, 0.659, 1.228,1.586,Bennett, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
3.937, 16397.198, 3.958, 2468.251, 94.640, 0.659, 1.228,2.116,Bennett, Element.PYRO, None, DamageType.BURST, True
3.933, 4498.412, 2901.040, 2468.251, 94.640, 0.659, 1.228,1.736,Bennett, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
4.023, 3240.305, 0.714, 1839.204, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
4.500, 2102.927, 0.806, 2528.949, 39.640, 0.692, 1.956,1.000,Fischl, Element.PHYSICAL, None, DamageType.CHARGED, False
5.057, 66021.723, 6.380, 3599.469, 39.640, 0.692, 1.956,2.180,Fischl, Element.ELECTRO, None, DamageType.BURST, True
5.140, 3240.305, 0.714, 1839.204, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
5.400, 3422.824, 2901.040, 3599.469, 39.640, 0.692, 1.956,1.150,Fischl, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
5.400, 7595.048, 0.800, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
6.200, 16861.007, 1.776, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
6.290, 3240.305, 0.714, 1839.204, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
6.900, 16160.721, 2901.040, 2703.218, 960.120, 0.116, 0.632,1.390,Kazuha, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
6.900, 7595.048, 0.800, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
7.067, 8910.885, 4.461, 2703.218, 960.120, 0.116, 0.632,1.570,Kazuha, Element.ANEMO, None, DamageType.BURST, True
7.067, 6795.458, 870.312, 2703.218, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
7.200, 16861.007, 1.776, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
7.290, 3240.305, 0.714, 1839.204, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
8.797, 109549.077, 9.472, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, True
8.873, 5126.344, 0.714, 2909.724, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
9.200, 16861.007, 1.776, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.250, 15275.251, 1.321, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
9.250, 2848.143, 0.300, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.583, 15109.533, 1.306, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
9.583, 2848.143, 0.300, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.950, 17204.379, 1.488, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
9.950, 2848.143, 0.300, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
10.040, 5126.344, 0.714, 2909.724, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
10.097, 4075.100, 2.040, 2703.218, 960.120, 0.116, 0.632,1.570,Kazuha, Element.ANEMO, None, DamageType.BURST, True
10.097, 1222.530, 0.612, 2703.218, 960.120, 0.116, 0.632,1.570,Kazuha, Element.PYRO, None, DamageType.BURST, True
10.083, 6795.458, 870.312, 2703.218, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
10.083, 16160.721, 2901.040, 2703.218, 960.120, 0.116, 0.632,1.390,Kazuha, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
10.200, 16861.007, 1.776, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.200, 16861.007, 1.776, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.283, 18857.309, 1.630, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
11.283, 21568.285, 1.865, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
11.290, 5126.344, 0.714, 2909.724, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
11.400, 15275.251, 1.321, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
11.400, 2848.143, 0.300, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
11.733, 15109.533, 1.306, 2909.724, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
11.733, 2848.143, 0.300, 3599.469, 39.640, 0.692, 1.956,2.000,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
12.047, 4075.100, 2.040, 2703.218, 960.120, 0.116, 0.632,1.570,Kazuha, Element.ANEMO, None, DamageType.BURST, True
12.047, 1222.530, 0.612, 2703.218, 960.120, 0.116, 0.632,1.570,Kazuha, Element.PYRO, None, DamageType.BURST, True
12.033, 5318.185, 870.312, 2703.218, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
12.033, 16160.721, 2901.040, 2703.218, 960.120, 0.116, 0.632,1.390,Kazuha, Element.PYRO, Reactions.OVERLOAD, DamageType.REACTION, True
