time, damage, mv, attack, em, cr, cd, damage bonus, character, element, reaction, damage type, aoe
0.850, 5362.552, 1.992, 1669.804, 39.640, 0.692, 1.294,1.939,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
1.584, 7471.609, 3.431, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
2.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
2.173, 1921.734, 0.714, 1669.804, 39.640, 0.692, 1.294,1.939,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
2.584, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
3.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
3.173, 1921.734, 0.714, 1669.804, 39.640, 0.692, 1.294,1.939,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
3.584, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
3.867, 4849.985, 4.461, 1471.298, 960.120, 0.116, 0.632,1.570,Kazuha, Element.ANEMO, None, DamageType.BURST, True
3.867, 5318.185, 870.312, 1471.298, 960.120, 0.116, 0.632,1.240,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
3.950, 1282.969, 0.806, 1915.718, 204.640, 0.692, 1.294,1.000,Fischl, Element.PHYSICAL, None, DamageType.CHARGED, False
4.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
4.173, 7704.401, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
4.407, 40732.182, 6.380, 1915.718, 204.640, 0.692, 1.294,2.540,Fischl, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, True
4.584, 5360.162, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, Reactions.SPREAD, DamageType.BURST, False
5.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
5.173, 2941.857, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
5.550, 15737.688, 1.776, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
5.584, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
6.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
6.173, 2941.857, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
6.550, 8528.201, 1.776, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
6.584, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
6.897, 2217.981, 2.040, 1471.298, 960.120, 0.116, 0.632,1.570,Kazuha, Element.ANEMO, None, DamageType.BURST, True
6.897, 6794.971, 0.612, 1471.298, 960.120, 0.116, 0.632,1.804,Kazuha, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, True
6.883, 6795.458, 870.312, 1471.298, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
7.030, 70538.727, 9.472, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, True
7.017, 11051.019, 0.800, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
7.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
7.107, 7704.401, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
7.467, 16437.779, 1.321, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, False
7.467, 1440.574, 0.300, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
7.550, 8528.201, 1.776, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
7.584, 5360.162, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, Reactions.SPREAD, DamageType.BURST, False
7.800, 8670.912, 1.306, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
7.800, 8650.061, 0.300, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
8.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
8.167, 9873.082, 1.488, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
8.167, 1440.574, 0.300, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
8.173, 2941.857, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
8.550, 8528.201, 1.776, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
8.584, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
8.847, 2217.981, 2.040, 1471.298, 960.120, 0.116, 0.632,1.570,Kazuha, Element.ANEMO, None, DamageType.BURST, True
8.847, 6794.971, 0.612, 1471.298, 960.120, 0.116, 0.632,1.804,Kazuha, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, True
8.833, 6795.458, 870.312, 1471.298, 960.120, 0.116, 0.632,1.624,Kazuha, Element.ELECTRO, Reactions.ELECTROSWIRL, DamageType.REACTION, True
9.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
9.173, 2941.857, 0.714, 1669.804, 39.640, 0.692, 1.294,2.323,Raiden, Element.ELECTRO, None, DamageType.SKILL, False
9.500, 18493.415, 1.630, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, False
9.500, 12377.398, 1.865, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
9.500, 11051.019, 0.800, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
9.550, 8528.201, 1.776, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
9.584, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
9.617, 8766.013, 1.321, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, None, DamageType.BURST, False
9.617, 8650.061, 0.300, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.SKILL, False
9.950, 16342.678, 1.306, 1669.804, 39.640, 0.692, 1.294,3.459,Raiden, Element.ELECTRO, Reactions.AGGRAVATE, DamageType.BURST, False
9.950, 1440.574, 0.300, 1915.718, 204.640, 0.692, 1.294,2.360,Fischl, Element.ELECTRO, None, DamageType.SKILL, False
10.084, 1601.165, 0.735, 1522.876, 119.640, 0.758, 1.294,1.646,Collei, Element.DENDRO, None, DamageType.BURST, False
